Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
93,F,Glasgow,low,high,high,high,low,40.5,59.5,58.5,57.5,49.5
94,M,Glasgow,high,low,low,high,low,53.5,37.5,21.0,56.5,52.5
94,M,Glasgow,high,low,low,high,high,60.5,37.5,25.5,56.0,54.0
94,M,Glasgow,high,low,low,high,high,64.0,40.0,31.0,58.5,54.5
95,F,Glasgow,high,high,high,low,high,55.0,86.5,60.5,23.0,60.5
95,F,Glasgow,low,high,high,low,high,43.0,74.0,66.5,26.5,57.0
95,F,Glasgow,high,high,high,low,high,54.5,80.5,64.5,20.0,63.0
96,M,Glasgow,high,low,low,high,low,55.0,35.5,25.0,58.5,39.0
96,M,Glasgow,high,low,low,high,low,58.5,54.0,39.0,41.5,39.5
96,M,Glasgow,high,low,low,high,low,53.5,44.0,40.5,56.5,41.5
97,F,Glasgow,high,low,low,high,low,54.5,28.0,32.5,72.5,42.5
97,F,Glasgow,high,high,high,low,high,63.0,59.0,58.0,27.5,59.5
97,F,Glasgow,high,low,high,high,high,56.5,45.0,60.0,42.5,63.0
98,M,Glasgow,low,low,low,high,low,50.0,14.5,26.0,61.0,21.0
98,M,Glasgow,low,low,low,high,low,50.5,35.0,44.0,41.5,46.0
98,M,Glasgow,low,low,low,high,low,36.0,23.0,45.0,56.5,26.0
99,F,Glasgow,high,low,low,high,high,59.0,43.0,33.0,54.0,54.0
99,F,Glasgow,low,high,low,low,high,51.0,64.5,44.5,40.5,56.5
99,F,Glasgow,low,high,high,high,high,43.0,57.5,58.0,50.0,57.0
100,M,Glasgow,low,high,low,high,low,41.0,57.0,41.0,41.0,48.0
100,M,Glasgow,high,low,low,low,high,58.0,53.0,40.0,35.0,62.0
100,M,Glasgow,low,low,high,high,low,40.0,48.0,59.5,41.0,50.5
101,F,Glasgow,low,low,low,high,low,38.0,45.5,34.5,45.5,44.0
101,F,Glasgow,low,low,low,high,low,39.0,43.0,48.5,45.5,42.5
101,F,Glasgow,low,low,low,high,low,38.0,46.0,47.5,42.0,35.0
102,M,Glasgow,low,high,high,low,low,44.0,55.0,54.5,38.0,47.0
102,M,Glasgow,low,high,high,high,high,38.5,57.5,63.0,46.0,54.5
102,M,Glasgow,low,low,high,high,low,33.5,45.0,56.0,58.0,38.5
103,F,Glasgow,high,high,low,high,low,53.0,56.5,41.5,49.0,49.5
103,F,Glasgow,low,low,low,high,low,52.0,53.5,40.5,56.5,49.5
103,F,Glasgow,low,low,low,high,high,40.5,51.0,45.5,48.0,55.5
104,M,Glasgow,low,low,high,low,low,28.0,49.5,53.5,37.0,36.0
104,M,Glasgow,low,high,high,low,low,25.5,55.5,61.5,37.0,37.0
104,M,Glasgow,low,low,low,high,low,24.0,16.5,39.5,71.5,21.0
105,F,Glasgow,high,high,low,high,low,55.0,58.5,50.5,54.0,43.0
105,F,Glasgow,low,low,low,high,low,42.0,50.5,46.5,55.5,47.0
105,F,Glasgow,high,high,high,low,low,55.5,62.5,53.0,31.5,49.5
106,M,Glasgow,low,high,high,high,low,30.0,55.0,60.5,58.0,38.0
106,M,Glasgow,low,low,high,high,low,35.0,48.0,55.5,55.5,40.0
106,M,Glasgow,low,low,high,low,low,35.0,50.0,58.5,37.5,31.5
107,F,Glasgow,high,high,high,low,high,56.5,63.0,66.5,36.5,56.5
107,F,Glasgow,high,high,high,low,high,60.5,60.5,61.5,33.5,59.5
107,F,Glasgow,low,high,high,low,high,48.5,59.0,71.5,28.5,59.0
